Group,Item_Number,Ingredient,Price,Cost,Points Earn,Points Redeem
Primary,Item_1,Chicken,6.5,2.0,65.0,400.0
Primary,Item_2,Beef,8.0,2.5,80.0,500.0
Primary,Item_3,Shrimp,7.5,3.0,75.0,600.0
Primary,Item_4,Tofu,5.5,1.0,55.0,200.0
Primary,Item_5,Chickpeas,4.5,0.5,45.0,100.0
Primary,Item_6,Pumpkin,5.0,0.75,50.0,150.0
Primary,Item_7,Eggplant,5.0,0.75,50.0,150.0
Primary,Item_8,Lentils,4.5,0.5,45.0,100.0
Beverage,Item_35,Soft Drink - XL,3.5,0.35,35.0,70.0
Beverage,Item_36,Soft Drink - L,3.0,0.3,30.0,60.0
Beverage,Item_37,Soft Drink - M,2.5,0.25,25.0,50.0
Beverage,Item_38,Soft Drink - S,2.0,0.2,20.0,40.0
